concept:name,time:timestamp,activity,TOC,AOR,Priority_Code,Substation,DeviceType,Device,event_message
310921,2017-05-02 10:05:54.000,TB,TMS,TOCPB,1,Substation1265,GCB,B6166,Substation1265 GCB B6166 BKRD CLOSE CTRL ISSUED BY User6
310947,2017-05-02 10:05:59.000,MH,TMS,TOCPB,3,Substation1265,RELAY,HYDRO_PR2_411L,Substation1265 RELAY HYDRO_PR2_411L SYSTEM ALARM CHG-DET
310948,2017-05-02 10:05:59.000,TB,TMS,TOCPB,1,Substation1265,GCB,B6166,Substation1265 GCB B6166 CLOSED
310962,2017-05-02 10:06:02.000,MH,TMS,TOCPB,3,Substation1265,RELAY,HYDRO_PR2_411L,Substation1265 RELAY HYDRO_PR2_411L SYSTEM NORMAL CHG-DET
311085,2017-05-02 10:06:50.000,MS,TMS,TOCPBDOC,4,Substation1265,STN,TOC,Substation1265 STN TOC MANS STATUS MANUAL ENTRY BY User6 WAS CHECKED IN IS CHECKED OUT
311086,2017-05-02 10:06:50.000,MS,TMS,TOCPBDOC,4,Substation1265,STN,TOC,Substation1265 STN TOC MAN IN STATION CHECKED OUT
319563,2017-05-02 11:00:03.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
329803,2017-05-02 12:00:02.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
339171,2017-05-02 12:59:59.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
339198,2017-05-02 13:00:03.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
