no,time:timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
1819,2017-05-01 00:13:21.000,ML,TMS,TOCBR,4,Substation424,BLKCAR,L342_PULSAR,Substation424 BLKCAR L342_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
2141,2017-05-01 00:15:52.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
2336,2017-05-01 00:17:34.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device349,Substation687 BLKCAR Device349 SIGNAL RECEIVED NORMAL CHG-DET
2407,2017-05-01 00:18:08.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L734_PULSAR,Substation611 BLKCAR L734_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
2414,2017-05-01 00:18:10.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L734_PULSAR,Substation611 BLKCAR L734_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
2892,2017-05-01 00:21:54.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
2915,2017-05-01 00:22:04.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
2928,2017-05-01 00:22:15.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED NORMAL CHG-DET
2953,2017-05-01 00:22:25.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
2977,2017-05-01 00:22:38.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
3011,2017-05-01 00:22:53.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED NORMAL CHG-DET
3026,2017-05-01 00:23:03.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
3064,2017-05-01 00:23:24.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED BLOCK TRIP CHG-DET
3082,2017-05-01 00:23:30.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
3104,2017-05-01 00:23:43.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058 BLKCAR R2362_PLANT SIGNAL RECEIVED NORMAL CHG-DET
3215,2017-05-01 00:24:39.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
3231,2017-05-01 00:24:48.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037 BLKCAR L514 SIGNAL RECEIVED TRIP ENABLED CHG-DET
3236,2017-05-01 00:24:50.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037 BLKCAR L514 SIGNAL RECEIVED NORMAL CHG-DET
3375,2017-05-01 00:26:05.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
3575,2017-05-01 00:27:47.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
3913,2017-05-01 00:30:29.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG UNBALANCED 800.0 CURRENT VALUE 800.0 AMPG HIGH LIMIT VALUE 10.9
3967,2017-05-01 00:30:47.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
3981,2017-05-01 00:30:51.000,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879 LN 414 AMPG NORMAL 2.9 CURRENT VALUE 2.9 AMPG HIGH LIMIT VALUE 10.9
3995,2017-05-01 00:30:54.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
4163,2017-05-01 00:32:17.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
4304,2017-05-01 00:33:25.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER LOSS CHG-DET
4329,2017-05-01 00:33:35.000,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402 BLKCAR Device793 SIGNAL RECEIVED NORMAL CHG-DET
4333,2017-05-01 00:33:39.000,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402 BLKCAR Device793 SIGNAL RECEIVED NORMAL CHG-DET
4727,2017-05-01 00:36:50.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER NORMAL CHG-DET
5424,2017-05-01 00:42:31.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
