no,time:timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
8802,2017-05-01 01:09:00.000,ML,TMS,TOCBM,4,Substation303,BLKCAR,L527,Substation303 BLKCAR L527 SIGNAL RECEIVED BLOCK TRIP CHG-DET
8804,2017-05-01 01:09:01.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L527,Substation1037 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
8806,2017-05-01 01:09:02.000,ML,TMS,TOCBM,4,Substation303,BLKCAR,L527,Substation303 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
8808,2017-05-01 01:09:03.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L527,Substation1037 BLKCAR L527 SIGNAL RECEIVED TRIP ENABLED CHG-DET
8812,2017-05-01 01:09:04.000,ML,TMS,TOCBM,4,Substation303,BLKCAR,L527,Substation303 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
8815,2017-05-01 01:09:05.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L527,Substation1037 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
8830,2017-05-01 01:09:12.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
8881,2017-05-01 01:09:35.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
8884,2017-05-01 01:09:37.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
8888,2017-05-01 01:09:39.000,ML,TMS,TOCBR,4,Substation611,BLKCAR,L752_PULSAR,Substation611 BLKCAR L752_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
8927,2017-05-01 01:10:04.000,ML,TMS,TOCGR,4,Substation239,RELAY,N_CAP_BANK,Substation239 RELAY N_CAP_BANK UNBALANCE NORMAL CHG-DET
8929,2017-05-01 01:10:04.000,ML,TMS,TOCGR,4,Substation239,GCB,N1124,Substation239 GCB N1124 CAP CLOSE CKT TIMER SET CHG-DET
8987,2017-05-01 01:10:27.000,ML,TMS,TOCBR,4,Substation861,CAP,21672,Substation861 CAP 21672 DELAY BLK CLOSE DELAY CHG-DET
8988,2017-05-01 01:10:27.000,ML,TMS,TOCBR,4,Substation861,CAP,21672,Substation861 CAP 21672 UNBALANCE ALARM CHG-DET
9023,2017-05-01 01:10:40.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
9066,2017-05-01 01:11:02.000,ML,TMS,TOCSE,4,Substation19,CAP,S2258_SEL451,Substation19 CAP S2258_SEL451 DELAY BLK CLOSE DELAY CHG-DET
9082,2017-05-01 01:11:10.000,ML,TMS,TOCGR,4,Substation1322,BLKCAR,Device826,Substation1322 BLKCAR Device826 CARRIER LEVEL LOW CHG-DET
9085,2017-05-01 01:11:11.000,ML,TMS,TOCGR,4,Substation708,BLKCAR,Device322,Substation708 BLKCAR Device322 SIGNAL XMIT NORMAL CHG-DET
9093,2017-05-01 01:11:13.000,ML,TMS,TOCGR,4,Substation1322,BLKCAR,Device826,Substation1322 BLKCAR Device826 CARRIER LEVEL LOW CHG-DET
9098,2017-05-01 01:11:15.000,ML,TMS,TOCGR,4,Substation708,BLKCAR,Device322,Substation708 BLKCAR Device322 SIGNAL XMIT NORMAL CHG-DET
9101,2017-05-01 01:11:16.000,ML,TMS,TOCGR,4,Substation1322,BLKCAR,Device826,Substation1322 BLKCAR Device826 CARRIER LEVEL NORMAL CHG-DET
9141,2017-05-01 01:11:36.000,ML,TMS,TOCNL,4,Substation281,CAP,R9405,Substation281 CAP R9405 DELAY BLK CLOSE NORMAL CHG-DET
9257,2017-05-01 01:12:29.000,ML,TMS,TOCGR,4,Substation239,GCB,N1124,Substation239 GCB N1124 CAP CLOSE CKT TIMER RESET CHG-DET
9376,2017-05-01 01:13:28.000,ML,TMS,TOCBR,4,Substation424,BLKCAR,L342_PULSAR,Substation424 BLKCAR L342_PULSAR SIGNAL RECEIVED BLOCK TRIP CHG-DET
9384,2017-05-01 01:13:32.000,ML,TMS,TOCBR,4,Substation424,BLKCAR,L342_PULSAR,Substation424 BLKCAR L342_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
9387,2017-05-01 01:13:33.000,ML,TMS,TOCBR,4,Substation1125,BLKCAR,L342_PULSAR,Substation1125 BLKCAR L342_PULSAR SIGNAL RECEIVED NORMAL CHG-DET
9582,2017-05-01 01:14:43.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device349,Substation687 BLKCAR Device349 SIGNAL RECEIVED NORMAL CHG-DET
9628,2017-05-01 01:15:01.000,ML,TMS,TOCBR,4,Substation861,CAP,21672,Substation861 CAP 21672 DELAY BLK CLOSE NORMAL CHG-DET
9781,2017-05-01 01:16:03.000,ML,TMS,TOCSE,4,Substation19,CAP,S2258_SEL451,Substation19 CAP S2258_SEL451 DELAY BLK CLOSE NORMAL CHG-DET
9971,2017-05-01 01:17:29.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED NORMAL CHG-DET
9972,2017-05-01 01:17:29.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED NORMAL CHG-DET
9980,2017-05-01 01:17:29.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device111,Substation1303 BLKCAR Device111 SIGNAL RECEIVED NORMAL CHG-DET
9981,2017-05-01 01:17:29.000,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247 BLKCAR Device424 SIGNAL RECEIVED TRIP ENABLED CHG-DET
9993,2017-05-01 01:17:34.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED BLOCK TRIP CHG-DET
10034,2017-05-01 01:17:49.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED NORMAL CHG-DET
10040,2017-05-01 01:17:54.000,ML,TMS,TOCWN,4,Substation901,RELAY,L119_PRI2_DTT,Substation901 RELAY L119_PRI2_DTT TRIP RECEIVED ALARM CHG-DET
10046,2017-05-01 01:17:56.000,ML,TMS,TOCWN,4,Substation901,RELAY,L119_PRI2_DTT,Substation901 RELAY L119_PRI2_DTT TRIP RECEIVED NORMAL CHG-DET
10047,2017-05-01 01:17:56.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED BLOCK TRIP CHG-DET
10055,2017-05-01 01:17:59.000,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901 BLKCAR L119_PLC85P1-1 SIGNAL RECEIVED NORMAL CHG-DET
10333,2017-05-01 01:20:17.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device636,Substation687 BLKCAR Device636 SIGNAL RECEIVED NORMAL CHG-DET
10352,2017-05-01 01:20:30.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device636,Substation687 BLKCAR Device636 SIGNAL RECEIVED NORMAL CHG-DET
10434,2017-05-01 01:21:05.000,ML,TMS,TOCGR,4,Substation708,BLKCAR,Device322,Substation708 BLKCAR Device322 SIGNAL XMIT NORMAL CHG-DET
10437,2017-05-01 01:21:05.000,ML,TMS,TOCGR,4,Substation1322,BLKCAR,Device826,Substation1322 BLKCAR Device826 CARRIER LEVEL LOW CHG-DET
10440,2017-05-01 01:21:06.000,ML,TMS,TOCGR,4,Substation1322,BLKCAR,Device826,Substation1322 BLKCAR Device826 CARRIER LEVEL LOW CHG-DET
10447,2017-05-01 01:21:09.000,ML,TMS,TOCGR,4,Substation708,BLKCAR,Device322,Substation708 BLKCAR Device322 SIGNAL XMIT ALARM CHG-DET
10450,2017-05-01 01:21:09.000,ML,TMS,TOCGR,4,Substation1322,BLKCAR,Device826,Substation1322 BLKCAR Device826 CARRIER LEVEL NORMAL CHG-DET
10455,2017-05-01 01:21:11.000,ML,TMS,TOCGR,4,Substation708,BLKCAR,Device322,Substation708 BLKCAR Device322 SIGNAL XMIT NORMAL CHG-DET
10537,2017-05-01 01:21:49.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device349,Substation1303 BLKCAR Device349 SIGNAL RECEIVED TRIP ENABLED CHG-DET
10543,2017-05-01 01:21:52.000,ML,TMS,TOCLR,4,Substation1374,BLKCAR,Device312,Substation1374 BLKCAR Device312 SIGNAL RECEIVED NORMAL CHG-DET
10546,2017-05-01 01:21:53.000,ML,TMS,TOCLR,4,Substation1303,BLKCAR,Device349,Substation1303 BLKCAR Device349 SIGNAL RECEIVED NORMAL CHG-DET
10548,2017-05-01 01:21:55.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037 BLKCAR L514 SIGNAL RECEIVED TRIP ENABLED CHG-DET
10553,2017-05-01 01:21:57.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037 BLKCAR L514 SIGNAL RECEIVED NORMAL CHG-DET
10797,2017-05-01 01:23:57.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
10957,2017-05-01 01:25:13.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER LOSS CHG-DET
10958,2017-05-01 01:25:13.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER LOSS CHG-DET
11153,2017-05-01 01:26:48.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
11177,2017-05-01 01:26:56.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
11184,2017-05-01 01:27:00.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
11193,2017-05-01 01:27:03.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
11211,2017-05-01 01:27:09.000,ML,TMS,TOCHS,4,Substation136,BLKCAR,Device309,Substation136 BLKCAR Device309 SIGNAL RECEIVED NORMAL CHG-DET
11385,2017-05-01 01:28:27.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
11414,2017-05-01 01:28:36.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER NORMAL CHG-DET
11566,2017-05-01 01:29:40.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER NORMAL CHG-DET
11588,2017-05-01 01:29:49.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
11698,2017-05-01 01:30:31.000,ML,TMS,TOCPB,4,Substation655,BLKCAR,Device362,Substation655 BLKCAR Device362 CHECKBACK TEST IN PROGRESS CHG-DET
11720,2017-05-01 01:30:40.000,ML,TMS,TOCPB,4,Substation655,BLKCAR,Device362,Substation655 BLKCAR Device362 CHECKBACK TEST NORMAL CHG-DET
12118,2017-05-01 01:33:38.000,ML,TMS,TOCBM,4,Substation303,BLKCAR,L527,Substation303 BLKCAR L527 SIGNAL RECEIVED BLOCK TRIP CHG-DET
12124,2017-05-01 01:33:39.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L527,Substation1037 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
12125,2017-05-01 01:33:40.000,ML,TMS,TOCBM,4,Substation303,BLKCAR,L527,Substation303 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
12131,2017-05-01 01:33:42.000,ML,TMS,TOCBM,4,Substation303,BLKCAR,L527,Substation303 BLKCAR L527 SIGNAL RECEIVED BLOCK TRIP CHG-DET
12136,2017-05-01 01:33:43.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L527,Substation1037 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
12139,2017-05-01 01:33:44.000,ML,TMS,TOCBM,4,Substation303,BLKCAR,L527,Substation303 BLKCAR L527 SIGNAL RECEIVED NORMAL CHG-DET
13444,2017-05-01 01:42:49.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
14037,2017-05-01 01:46:47.000,ML,TMS,TOCLC,4,Substation943,CAP,17435,Substation943 CAP 17435 UNBALANCE ALARM CHG-DET
14038,2017-05-01 01:46:47.000,ML,TMS,TOCLC,4,Substation943,CAP,17435,Substation943 CAP 17435 CLOSE CKT TIMER SET CHG-DET
14621,2017-05-01 01:50:46.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
14626,2017-05-01 01:50:49.000,ML,TMS,TOCLF,4,Substation298,ACB,13065,Substation298 ACB 13065 MINOR NORMAL CHG-DET
14844,2017-05-01 01:52:19.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14865,2017-05-01 01:52:26.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14869,2017-05-01 01:52:27.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
14871,2017-05-01 01:52:27.000,ML,TMS,TOCLC,4,Substation943,CAP,17435,Substation943 CAP 17435 CLOSE CKT TIMER RESET CHG-DET
14875,2017-05-01 01:52:29.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14879,2017-05-01 01:52:31.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
14886,2017-05-01 01:52:33.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14896,2017-05-01 01:52:36.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
14900,2017-05-01 01:52:37.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14915,2017-05-01 01:52:41.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14921,2017-05-01 01:52:43.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14926,2017-05-01 01:52:45.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
14931,2017-05-01 01:52:47.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14936,2017-05-01 01:52:49.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED BLOCK TRIP CHG-DET
14946,2017-05-01 01:52:51.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14950,2017-05-01 01:52:53.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
14965,2017-05-01 01:52:57.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15158,2017-05-01 01:54:19.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15163,2017-05-01 01:54:21.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15175,2017-05-01 01:54:25.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15185,2017-05-01 01:54:28.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15187,2017-05-01 01:54:29.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15196,2017-05-01 01:54:31.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15205,2017-05-01 01:54:33.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
15428,2017-05-01 01:55:58.000,ML,TMS,TOCLR,4,Substation997,XFMR,AT2,Substation997 XFMR AT2 NITROGEN CYL LOW CHG-DET
15491,2017-05-01 01:56:24.000,ML,TMS,TOCLF,4,Substation298,XFMR,T1_APH,Substation298 XFMR T1_APH NITROGEN CYL LOW CHG-DET
16009,2017-05-01 01:59:57.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED TRIP ENABLED CHG-DET
16023,2017-05-01 02:00:01.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED NORMAL CHG-DET
16024,2017-05-01 02:00:01.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL LOW CHG-DET
16028,2017-05-01 02:00:03.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R7962_NATCHEZ,Substation1058 BLKCAR Device4575 SIGNAL RECEIVED NORMAL CHG-DET
16030,2017-05-01 02:00:04.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
16031,2017-05-01 02:00:04.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED BLOCK TRIP CHG-DET
16034,2017-05-01 02:00:04.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
16045,2017-05-01 02:00:06.000,ML,TMS,TOCPB,4,Substation1459,BLKCAR,Device285,Substation1459 BLKCAR Device285 SIGNAL XMIT NORMAL CHG-DET
16046,2017-05-01 02:00:06.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device636,Substation687 BLKCAR Device636 SIGNAL RECEIVED NORMAL CHG-DET
16049,2017-05-01 02:00:06.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED NORMAL CHG-DET
16058,2017-05-01 02:00:10.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device636,Substation687 BLKCAR Device636 SIGNAL RECEIVED NORMAL CHG-DET
16138,2017-05-01 02:00:47.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
16315,2017-05-01 02:02:01.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 TRANSMITTER FAILED CHG-DET
16316,2017-05-01 02:02:01.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 CARRIER LEVEL LOW CHG-DET
16324,2017-05-01 02:02:04.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 TRANSMITTER NORMAL CHG-DET
16325,2017-05-01 02:02:04.000,ML,TMS,TOCLR,4,Substation844,BLKCAR,Device676,Substation844 BLKCAR Device676 CARRIER LEVEL NORMAL CHG-DET
16451,2017-05-01 02:02:57.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
16888,2017-05-01 02:05:54.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER LOSS CHG-DET
17209,2017-05-01 02:08:24.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
17446,2017-05-01 02:10:25.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER NORMAL CHG-DET
18010,2017-05-01 02:15:06.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER LOSS CHG-DET
18079,2017-05-01 02:15:39.000,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device349,Substation687 BLKCAR Device349 SIGNAL RECEIVED NORMAL CHG-DET
18132,2017-05-01 02:16:01.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED ALARM CHG-DET
18137,2017-05-01 02:16:04.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
18401,2017-05-01 02:18:32.000,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740 GCB 20580_HI_PRESS HEATER NORMAL CHG-DET
18566,2017-05-01 02:19:59.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED ALARM CHG-DET
18567,2017-05-01 02:20:01.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
18965,2017-05-01 02:22:53.000,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037 BLKCAR L514 SIGNAL RECEIVED NORMAL CHG-DET
19070,2017-05-01 02:23:43.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
19519,2017-05-01 02:26:52.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
20042,2017-05-01 02:30:27.000,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714 TONE L519 TRIP RECEIVED NORMAL CHG-DET
21870,2017-05-01 02:43:51.000,ML,TMS,TOCNL,4,Substation354,BLKCAR,STND,Substation354 BLKCAR STND SIGNAL RECEIVED BLOCK TRIP CHG-DET
21875,2017-05-01 02:43:53.000,ML,TMS,TOCNL,4,Substation1456,BLKCAR,WINN,Substation1456 BLKCAR WINN SIGNAL RECEIVED BLOCK TRIP CHG-DET
21910,2017-05-01 02:44:06.000,ML,TMS,TOCNL,4,Substation1456,BLKCAR,WINN,Substation1456 BLKCAR WINN SIGNAL RECEIVED NORMAL CHG-DET
21932,2017-05-01 02:44:13.000,ML,TMS,TOCNL,4,Substation354,BLKCAR,STND,Substation354 BLKCAR STND SIGNAL RECEIVED NORMAL CHG-DET
22172,2017-05-01 02:45:39.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER LOSS CHG-DET
22639,2017-05-01 02:48:25.000,ML,TMS,TOCGR,4,Substation291,GCB,N1064,Substation291 GCB N1064 CAP CLOSE CKT TIMER SET CHG-DET
22882,2017-05-01 02:50:09.000,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740 GCB 20585_HI_PRESS HEATER NORMAL CHG-DET
23299,2017-05-01 02:53:26.000,ML,TMS,TOCGR,4,Substation291,GCB,N1064,Substation291 GCB N1064 CAP CLOSE CKT TIMER RESET CHG-DET
24134,2017-05-01 02:59:54.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED TRIP ENABLED CHG-DET
24137,2017-05-01 02:59:56.000,ML,TMS,TOCED,4,Substation232,BLKCAR,Device689,Substation232 BLKCAR Device689 SIGNAL RECEIVED NORMAL CHG-DET
24147,2017-05-01 03:00:02.000,ML,TMS,TOCNL,4,Substation355,BLKCAR,Device1706,Substation355 BLKCAR Device1706 SIGNAL RECEIVED NORMAL CHG-DET
24152,2017-05-01 03:00:02.000,ML,TMS,TOCPB,4,Substation1265,BLKCAR,STUTR_PR1_UPLC,Substation1265 BLKCAR STUTR_PR1_UPLC CARRIER LEVEL NORMAL CHG-DET
24155,2017-05-01 03:00:03.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED BLOCK TRIP CHG-DET
24158,2017-05-01 03:00:03.000,ML,TMS,TOCGR,4,Substation1027,LN,Device4416,Substation1027 LN Device4416 #1 CARRIER LEVL LOW CHG-DET
24159,2017-05-01 03:00:03.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,MARKET,Substation1027 BLKCAR MARKET SIGNAL RECEIVED TRIP ENABLED CHG-DET
24169,2017-05-01 03:00:05.000,ML,TMS,TOCGR,4,Substation1027,LN,Device4416,Substation1027 LN Device4416 #1 CARRIER LEVL NORMAL CHG-DET
24170,2017-05-01 03:00:05.000,ML,TMS,TOCGR,4,Substation1027,BLKCAR,MARKET,Substation1027 BLKCAR MARKET SIGNAL RECEIVED NORMAL CHG-DET
24172,2017-05-01 03:00:05.000,ML,TMS,TOCNL,4,Substation1424,BLKCAR,R8018_STAND,Substation1424 BLKCAR R8018_STAND SIGNAL RECEIVED NORMAL CHG-DET
24175,2017-05-01 03:00:06.000,ML,TMS,TOCPB,4,Substation1459,BLKCAR,Device285,Substation1459 BLKCAR Device285 SIGNAL XMIT NORMAL CHG-DET
24178,2017-05-01 03:00:07.000,ML,TMS,TOCGR,4,Substation1027,LN,Device4416,Substation1027 LN Device4416 #1 CARRIER LEVL LOW CHG-DET
24179,2017-05-01 03:00:07.000,ML,TMS,TOCLR,4,Substation977,BLKCAR,Device754,Substation977 BLKCAR Device754 SIGNAL RECEIVED NORMAL CHG-DET
24187,2017-05-01 03:00:08.000,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R7962_NATCHEZ,Substation1058 BLKCAR Device4575 SIGNAL RECEIVED NORMAL CHG-DET
24190,2017-05-01 03:00:09.000,ML,TMS,TOCGR,4,Substation1027,LN,Device4416,Substation1027 LN Device4416 #1 CARRIER LEVL NORMAL CHG-DET
